Found!ကလော်ထုတ်ခြင်တော့တာပါဘဲ	ကလော်ထုတ်ချင်တော့တာပါဘဲ
Found!ပေါက်းစုံရှိတတ်တယ်	ပေါင်းစုံရှိတတ်တယ်
Found!ပြစ်တာဘဲဟား	ပစ်တာဘဲဟာ
Found!ပြစ်တဲ့ အမြောက်ရဲ ့	ပစ်တဲ့ အမြောက်ရဲ့
Found!ပတ်ဝယ်လိူက်ရသေးတယ်	ပတ်ဝယ်လိုက်ရသေးတယ်
Found!ပိတ်ပင်ထားစဲရှိလား	ပိတ်ပင်ထားဆဲရှိလား
Found!ပိတ်ပင်လိ်ုက်တာဟာ	ပိတ်ပင်လိုက်တာဟာ
Found!ပိတ် ပင် လိမ် ့မယ်	ပိတ် ပင် လိမ့်မယ်
Found!ပုတ်ခတ်နိူင်ကြပါစေ 	ပုတ်ခတ်နိုင်ကြပါစေ 
Found!ပန်းကြားထား	ပန်ကြားထား
Found!ပျက်ဆီးလာပြီး	ပျက်စီးလာပြီး
Found!ပျောက်လိမ့့်မယ်	ပျောက်လိမ့်မယ်
Found!ပြခွ ွင့်ရကြတယ်	ပြခွင့်ရကြတယ်
Found!ပြီးပြည့်စုအောင် 	ပြီးပြည့်စုံအောင် 
Found!ပြုပြင် နိုင် စွမ် းရှိခြင် း	ပြုပြင် နိုင် စွမ်းရှိခြင်း
Found!ပြုလုပ် နေသည် ့ 	ပြုလုပ် နေသည့်
Found!ပြောဆိုခြ့သလို	ပြောဆိုခဲ့သလို
Found!ပြောဆိုလိ်ုက်တာပါ။	ပြောဆိုလိုက်တာပါ။
Found!ပြာပြနေတဲ့	ပြောပြနေတဲ့
Found!ပြောပြသင် ့သည် ့	ပြောပြသင့်သည့်
Found!ပြောလက်မှဖြင့်	ပြောလိုက်မှဖြင့်
Found!ပြောလိုက်သေတယ် 	ပြောလိုက်သေးတယ် 
Found!ပြင်ပီးသလောက်	ပြင်ပြီးသလောက်
Found!ပြောင်းရွှေ ့	ပြောင်းရွှေ့
Found!ပြောင် းလိုက် သည် 	ပြောင်းလိုက် သည် 
Found!ပြစ်တင် ရှု ံ့ချ	ပြစ်တင် ရှုံ့ချ
Found!ပြည်သူ ့ဆေးရုံကြီး	ပြည်သူ့ဆေးရုံကြီး
Found!ပြည့်မြောက်ပီ	ပြည့်မြောက်ပြီ
Found!ပျက်လက်နေတာ	ပြတ်လပ်နေတာ
Found!ပြန်တိုက်ယုမှ	ပြန်တိုက်ယူမှ
Found!ပြနါပြန်ဖတ်ပေး	ပြန်ပြန်ဖတ်ပေး
Found!ပြန်မပြောရဲ့	ပြန်မပြောရဲ
Found!ပြန် ရလာသည် ့ 	ပြန် ရလာသည့်
Found!ပြန်ရေွးနိုင်ဖို့	ပြန်ရွေးနိုင်ဖို့
Found!ပြည်လည်လက်ခံရေး	ပြန်လည်လက်ခံရေး
Found!ပြသနာတက်မှာဆိုးပြီး 	ပြဿနာတက်မှာစိုးပြီး 
Found!ပွားများပိူ့	ပွားများဖို့
Found!ပွဲတော်တည်နိူင်ပါတော့မယ်	ပွဲတော်တည်နိုင်ပါတော့မယ်
Found!ပျှော်ရွှင်မှု	ပျှော်ရွှင်မှု
Found!ဖျန့်ဖြစ်ချင်လို့	ဖရန့်ဖြစ်ချင်လို့
Found!ဖားအောက်ေတာရ	ဖားအောက်တောရ
Found!ဖိနှိ်ပ်ခံရမှု	ဖိနှိပ်ခံရမှု
Found!ဖေဖေါ်ဝါရီလ	ဖေဖော်ဝါရီလ
Found!ဖေ့သားဂျိိီး	ဖေ့သားကြီး
Found!ဖေါ်စေချင်တယ်	ဖော်စေချင်တယ်
Found!ဖော်ဆော်နိူင်ချက်	ဖော်ဆောင်နိုင်ချက်
Found!ဖေါ်ထုတ်နိုင်	ဖော်ထုတ်နိုင်
Found!ဖေါ်ပြခဲ့ကြပြီး	ဖော်ပြခဲ့ကြပြီး
Found!ဖေါ်ပြခဲ့ပါတယ်	ဖော်ပြခဲ့ပါတယ်
Found!aဖာ်ပြထား	ဖော်ပြထား
Found!ဖေါ်ပြထားတဲ့	ဖော်ပြထားတဲ့
Found!ဖတ်လေးတွေနဲ့	ဖက်လေးတွေနဲ့
Found!ဖေါက်ခွဲရေး	ဖောက်ခွဲရေး
Found!ဖတ်ကြပြပါတယ်	ဖတ်ပြကြပါတယ်
Found!ဖိိတ်ကျွေးခြင်း	ဖိတ်ကျွေးခြင်း
Found!ဖမ်းခံ၇တာလို့ 	ဖမ်းခံရတာလို့ 
Found!ဖမ်းမမိ်သေးတဲ့	ဖမ်းမမိသေးတဲ့
Found!ဖျတ်ဆီးလိုက်တဲ့	ဖျက်ဆီးလိုက်တဲ့
Found!ဖြစ်ကုန်တာပေါ်	ဖြစ်ကုန်တာပေါ့
Found!ဖြစ်ခဲ့ရသည”်	ဖြစ်ခဲ့ရသည်
Found!ဖြစ်နေ တာကြောင်	ဖြစ်နေ တာကြောင့်
Found!ဖစ်နေမှာဆိုးလို့	ဖြစ်နေမှာစိုးလို့
Found!ဖစ်နိုင်ရင် 	ဖြစ်နိုင်ရင် 
Found!ဖြစ်ပွါးခဲ့တာဟာ	ဖြစ်ပွားခဲ့တာဟာ
Found!ဖြစ်ဖို ့ 	ဖြစ်ဖို့
Found!ဖြစ်လာနိ်ုင်	ဖြစ်လာနိုင်
Found!ဖြစ် လိမ် ့မယ်	ဖြစ် လိမ့်မယ်
Found!ဖြတ် စီးပြစ် လိမ် ့မယ်	ဖြတ် စီးပြစ် လိမ့်မယ်
Found!ဖွဲ့စညး်ရာတွင်	ဖွဲ့စည်းရာတွင်
Found!ဖွငိ့ချပြတာပါ	ဖွင့်ချပြတာပါ
Found!ဗစ်နစ်ဖွဲဖား	ဗစ်နစ်ဇွဲလား
Found!ဗိ်ုလ်ချုပ်ကြီး	ဗိုလ်ချုပ်ကြီး
Found!ဗိ်ုလ်ချုပ်မှုးကြီး	ဗိုလ်ချုပ်မှုးကြီး
Found!ဗိ်ုလ်မှူးကြီး	ဗိုလ်မှူးကြီး
Found!ဗြိတိ်န်နိ်ုင်ငံ	ဗြိတိန်နိုင်ငံ
Found!ဘကြိးရဲ့ဇာတ်လမး်ကလည်း 	ဘကြီးရဲ့ဇာတ်လမ်းကလည်း 
Found!ဘရားဇီးမြီု့	ဘရားဇီးမြို့
Found!ဘာလုပ် သင် ့တယ်	ဘာလုပ် သင့်တယ်
Found!ဘော့လုံးသမားဟောင်း	ဘောလုံးသမားဟောင်း
Found!ဘင်္ဂလားဒေရှ့်	ဘင်္ဂလားဒေ့ရှ်
Found!ဘင်္ဂ်လားဒေ့ရှ်	ဘင်္ဂလားဒေ့ရှ်
Found!ဘုန်းကြီ်းကျောင်း	ဘုန်းကြီးကျောင်း
Found!ဘယ်ပြောက်နေမှန်းကိုမသိဘူး	ဘယ်ပျောက်နေမှန်းကိုမသိဘူး
Found!ပယ်လို ပယ်လို	ဘယ်လို ဘယ်လို
Found!ဘိုလိုလုပ်ရပါ့	ဘယ်လိုလုပ်ရပါ့
Found!ဘယ်ဟာဝယ်ရမလံ	ဘယ်ဟာဝယ်ရမလဲ
Found!ဘယ်အချိန်ဖင့်ပြီး	ဘယ်အချိန်ဖွင့်ပြီး
Found!မကောင်းဖုးလို့	မကောင်းဘူးလို့
Found!မကြေနပ်မှု	မကျေနပ်မှု
Found!မကြည် ့သင် ့ပါ	မကြည့်သင့်ပါ
Found!မခေါ်ကြနက်နော်	မခေါ်ကြနဲ့နော်
Found!မချစ်ပါဘူကွာ	မချစ်ပါဘူးကွာ
Found!မငှဲ ့ဘဲ	မငှဲ့ဘဲ
Found!မစူးစိ်ုက်နိုင်တာမျိုး	မစူးစိုက်နိုင်တာမျိုး
Found!မဆောက်ပေးနိုုင်ဘူးတဲ့	မဆောက်ပေးနိုင်ဘူးတဲ့
Found!မတူဘူးပေါ့့လေ	မတူဘူးပေါ့လေ
Found!မတတ််နိင်ဘူး	မတတ်နိင်ဘူး
Found!မတွေ့ဖူးသေးပါ	မတွေ့ဘူးသေးပါ
Found!မထား ဖိုဆိုတာ	မထား ဖို့ဆိုတာ
Found!မထွက်ရတေးဘူး	မထွက်ရသေးဘူး
Found!မနည်သတိထားနေတယ်	မနည်းသတိထားနေတယ်
Found!မနှိူင်းယှဉ်ပါနဲ့	မနှိုင်းယှဉ်ပါနဲ့
Found!မပျံနိ်ုင်	မပျံနိုင်
Found!မပြိုင်သင့်ဖူး	မပြိုင်သင့်ဘူး
Found!မဖြစ်နို်ုင်ပါဘူးခင်ဗျာ	မဖြစ်နိုင်ပါဘူးခင်ဗျာ
Found!မမေးခြင်တော့ပါဘူး	မမေးချင်တော့ပါဘူး
Found!မမြင်ရတေးဘူးလေ	မမြင်ရသေးဘူးလေ
Found!မရင့်ကြက်ကြသေးတာ	မရင့်ကျက်ကြသေးတာ
Found!မ၇ပ်တည်ပါနဲ့	မရပ်တည်ပါနဲ့
Found!မရပ်မနားဖြစ်နေေပသည့်	မရပ်မနားဖြစ်နေသည့်
Found!မရှ်ိပါဘူး	မရှိပါဘူး
Found!မရှိသေးပေမဲ့	မရှိသေးပေမယ့်
Found!မရှင်းပြသင့်ဖူး	မရှင်းပြသင့်ဘူး
Found!မရွေပြောင်းနိုင်ခင်	မရွှေ့ပြောင်းနိုင်ခင်
Found!မလွတ်းတေးပါဘူး	မလွတ်သေးပါဘူး
Found!မလျော်သင့်ပေမယ့်	မလျှော်သင့်ပေမယ့်
Found!မသိသေးဘဲကိုယ်	မသိသေးဘဲကို
Found!မသိသေးဘဲကိုယ်	မသိသေးဘဲကို
Found!မသေချာပေမဲ့	မသေချာပေမယ့်
Found!မသတ်မှတ်ရဘူးလေး	မသတ်မှတ်ရဘူးလေ
Found!မသွား နိ်ုင်ဘူး	မသွား နိုင်ဘူး
Found!မသွာအောင် 	မသွားအောင် 
Found!မသွင်းခဲ့၇ဘူးပေါ့	မသွင်းခဲ့ရဘူးပေါ့
Found!မဟောင်နိူင်တဲ့	မဟောင်နိုင်တဲ့
Found!မိသားစုဂသူငယ်ချင်းတွေနဲ့	မိသားစုသူငယ်ချင်းတွေနဲ့
Found!မီးမှောင်းထိုးထားပါတယ်	မီးမောင်းထိုးထားပါတယ်
Found!မိရထားလမ်းဆောက်လုပ်ရေး	မီးရထားလမ်းဆောက်လုပ်ရေး
Found!မီးရှိုးမှု	မီးရှို့မှု
Found!မေလဆန်းပိ်ုင်း	မေလဆန်းပိုင်း
Found!မေ့သွားလိမ့်မေတဲ့ 	မေ့သွားလိမ့်မယ်တဲ့ 
Found!မောဟလည်းမကြီးချင်ပု	မောဟလည်းမကြီးချင်ဘူး
Found!မိ်ုးကျပြီးမှ	မိုးကျပြီးမှ
Found!မိုးလေဝသစောငြ့်ကည့်ရေး	မိုးလေဝသစောင့်ကြည့်ရေး
Found!မင် း ခေါင် းပါ	မင်း ခေါင်းပါ
Found!မင်းအောင်လှိ်ုင်	မင်းအောင်လှိုင်
Found!မောင်တောမြိ့ 	မောင်တောမြို့
Found!မိုင်ပေါက်ကွဲမှု	မိုင်းပေါက်ကွဲမှု
Found!မိန်ြ့ကားခဲ့ပါတယ်	မိန့်ကြားခဲ့ပါတယ်
Found!မိန့် ့ခွန်း	မိန့်ခွန်း
Found!မိန်းမဖြစ်၇တာဟာ	မိန်းမဖြစ်ရတာဟာ
Found!မိနး်မအဖြစ် 	မိန်းမအဖြစ် 
Found!န်းပွါးစေတဲ့	မုန်းပွားစေတဲ့
Found!များလာခြင် း	များလာခြင်း
Found!မျက်မှောက်ပြုလွယ်နိူင်	မျက်မှောက်ပြုလွယ်နိုင်
Found!မျောက်ပြဆန်တောင်	မျောက်ပြဆန်တောင်း
Found!မြေတောင်မြောက်ပေး	မြေတောင်မြှောက်ပေး
Found!မြေက်ကိုးရီးယား	မြောက်ကိုရီးယား
Found!မြောက်ပိ်ုငး	မြောက်ပိုင်း
Found!မြင်တက်လာကြရင်	မြင်တတ်လာကြရင်
Found!မြင်တွေ့နေကျ	မြင်တွေ့နေကြ
Found!မြင်ဖူးသွားပီ	မြင်ဖူးသွားပြီ
Found!မြှင့်တက်နေပြီး	မြင့်တက်နေပြီး
Found!မြတ်နိုူးနိူင်မယ့်	မြတ်နိုးနိုင်မယ့်
Found!မြန်မာနိ်ုင်ငံ	မြန်မာနိုင်ငံ
Found!မြန်မာနိ်ုင်ငံသား	မြန်မာနိုင်ငံသား
Found!မ ျှဝေခဲ့ပါတယ်	မျှဝေခဲ့ပါတယ်
Found!မျှဝေရင် း 	မျှဝေရင်း 
Found!မြင့်တင်ပေးဖို့	မြှင့်တင်ပေးဖို့
Found!မွှေ ့ရာလေး	မွှေ့ရာလေး
Found!ယူထားခဲ့ကြေ င်း 	ယူထားခဲ့ကြောင်း
Found!ယောကျာ်းတွေ	ယောက်ျားတွေ
Found!ယောကျာ်းများ 	ယောက်ျားများ 
Found!ယောကျာ်းလေးများ	ယောက်ျားလေးများ
Found!ယောက်ျားတွေပါဟယ်လ်	ယောက်ျားတွေပါဟယ်
Found!ယဉ်ကျေးမှုငး	ယဉ်ကျေးမှု
Found!ယုံကြည်မူ	ယုံကြည်မှု
Found!ယူံစားလာခဲ့တယ်	ယုံစားလာခဲ့တယ်
Found!ယှာဉ်ကြည့်မှာ	ယှဉ်ကြည့်မှာ
Found!ယှာဉ်ကြည့်ရင်	ယှဉ်ကြည့်ရင်
Found!ယှဉ်ပြီး် 	ယှဉ်ပြီး
Found!ရခိုင့်ညွ ွန့်ဖူး	ရခိုင့်ညွန့်ဖူး
Found!ရတနာပုုံ	ရတနာပုံ
Found!ရရှိလာသည် ့ 	ရရှိလာသည့်
Found!ရာခိုင်နှုုန်းက	ရာခိုင်နှုန်းက
Found!ရီခြင်စရာတော့	ရီချင်စရာတော့
Found!ရေထိသ ွားတယ်	ရေထိသွားတယ်
Found!ရေနစ်မြှုပ်	ရေနစ်မြုပ်
Found! ေ၇ပုန်း	ရေပုန်း
Found!ရေရှားပါးတြ့	ရေရှားပါးတဲ့
Found!ရေအားလျပ်စစ်မ	ရေအားလျှပ်စစ်
Found!ရေးနိုင်ဖို	ရေးနိုင်ဖို့
Found!ရဲ ဖော်တွေ	ရဲဘော်တွေ
Found!ရဲမေ်တော်ယာဉ်	ရဲမော်တော်ယာဉ်
Found!ရော်ဘာကျည်ဆန်နဲ့ပြစ်	ရော်ဘာကျည်ဆန်နဲ့ပစ်
Found!ရက်ရောကျတာမျိုး	ရက်ရောကြတာမျိုး
Found!ရောက်တုုံး	ရောက်တုန်း
Found!ရောက်ဖိ်ု့	ရောက်ဖို့
Found!ရောက်၇ှိနေပြီ	ရောက်ရှိနေပြီ
Found!ရောက်အောင်သွားဖို	ရောက်အောင်သွားဖို့
Found!ရင် းနှီးပြီး	ရင်းနှီးပြီး
Found!ရင်းနှီးမြှုပ်နှံမှီု	ရင်းနှီးမြှုပ်နှံမှု
Found!ရောင်းချႏ နိုင်ဖွယ်ရှိတယ်	ရောင်းချႏ နိုင်ဖွယ်ရှိတယ်
Found!ရောင် းပေးခြင် း	ရောင်းပေးခြင်း
Found!ရိုင်းစိုက်ကြမ်းကြုပ်	ရိုင်းစိုင်းကြမ်းကြုတ်
Found!ရည် မှန် းချက် 	ရည် မှန်းချက် 
Found!ရည် မှန် းထားပါ	ရည် မှန်းထားပါ
Found!ရန်ကုန်မာတုန်းက	ရန်ကုန်မှာတုန်းက
Found!ရယ်မောပျော်ရွှင်နိူင်ကြပါစေ	ရယ်မောပျော်ရွှင်နိုင်ကြပါစေ
Found!ရွေးချယ်နိုင်ဖိုပ	ရွေးချယ်နိုင်ဖို့
Found!ရွေးချယ်လိ်ု့မရဘူး	ရွေးချယ်လို့မရဘူး
Found!ရှာနိုင် သည် ့	ရှာနိုင် သည့်
Found!ရှိနေေသာ်လည်း	ရှိနေသော်လည်း
Found!ရှိသည် ့အတွက်	ရှိသည့်အတွက်
Found!ရှ ုဒေါင့်စုံက	ရှုဒေါင့်စုံက
Found!ရှုမင်ကြပါတယ်ရှင်	ရှုမြင်ကြပါတယ်ရှင်
Found!ရူနေရပါတယ့်	ရှူနေရပါတယ်
Found!ရှေ ့နေ	ရှေ့နေ
Found!ရှင်း ပြစ်ပြီး	ရှင်း ပစ်ပြီး
Found!ရှင် းလင် းပြောပြသည်	ရှင်းလင်းပြောပြသည်
Found!ရှင် းလင် း	ရှင်းလင်း
Found!ရှုတ်ချကြောင်း၊	ရှုံ့ချကြောင်း၊
Found!ရှူံးခဲ့တဲ့	ရှုံးခဲ့တဲ့
Found!ရွှေ ့ပြောင်း	ရွှေ့ပြောင်း
Found!လဆန်းပိ်ုင်း	လဆန်းပိုင်း
Found!လာရောက်ကျပါရန်	လာရောက်ကြပါရန်
Found!လူယေ်လူရွယ်	လူငယ်လူရွယ်
Found!လူတတ်ကြီးလုပ်ချငိကြတာကိုး	လူတတ်ကြီးလုပ်ချင်ကြတာကိုး
Found!လူတွေကိ်ု	လူတွေကို
Found!လူပျိုကြိီး	လူပျိုကြီး
Found!လူမျိုးတုန်း	လူမျိုးတုံး
Found!လေကြောင်းလိ်ုင်း	လေကြောင်းလိုင်း
Found!လေလံပြစ်ပွဲကြီး	လေလံပစ်ပွဲကြီး
Found!လေ့ လာမှု့ 	လေ့ လာမှု
Found!ငလေးစားမိပါတယ်	လေးစားမိပါတယ်
Found!လက္ခံမယ်လို့	လက်ခံမယ်လို့
Found!လက်မခံနိူင်ခြင်း	လက်မခံနိုင်ခြင်း
Found!လက်သည်းဆိုးဆေးနံ ့	လက်သည်းဆိုးဆေးနံ့
Found!လိ်ုက်တက်ခွင့်ရမှာပါ	လိုက်တက်ခွင့်ရမှာပါ
Found!လိုက်နိ်ုင်ကြပါတယ်	လိုက်နိုင်ကြပါတယ်
Found!လိုက်ဖက်နေတုန်း	လိုက်ဖတ်နေတုန်း
Found!လိ်ုက်လျောချက်	လိုက်လျောချက်
Found!လိငင်းပိုင်းဆိုင်ရာ	လိင်ပိုင်းဆိုင်ရာ
Found!လိ်ုင်ပေါ်မှာ	လိုင်းပေါ်မှာ
Found!လည်းေ၇ကြီးမူ	လည်းရေကြီးမူ
Found!လုပ်ဆောင်တာကိုး 	လုပ်ဆောင်တာကို
Found!လုပ်နိ်ုင်ကြတယ်	လုပ်နိုင်ကြတယ်
Found!လုပ်နိ်ုင်ဖို့ပဲ	လုပ်နိုင်ဖို့ပဲ
Found!လုပ် နိုင် မည် ့ 	လုပ် နိုင် မည့်
Found!လုပ်ရပါလိ်မ့်မယ်	လုပ်ရပါလိမ့်မယ်
Found!လမ်းပျော်နေမှာ	လမ်းပျောက်နေမှာ
Found!လမ်းဖေါက်လုပ်ရေး	လမ်းဖောက်လုပ်ရေး
Found!လိ်မ့်မယ်၊	လိမ့်မယ်၊
Found!လေုံခြုံရေး	လုံခြုံရေး
Found!လယ်မြေသိမ်းးခံရတာနဲ့	လယ်မြေသိမ်းခံရတာနဲ့
Found!လွြတ်ငိမ်းခွင့်	လွတ်ငြိမ်းခွင့်
Found!လွှတ်မြောက်ကျမှာပါ	လွတ်မြောက်ကြမှာပါ
Found!လတွ်မြောက်ဖို့	လွတ်မြောက်ဖို့
Found!လတွ်မြောက်မယ်	လွတ်မြောက်မယ်
Found!လှူဒါန်လိုသူများ	လှူဒါန်းလိုသူများ
Found!လှိုင်မြို ့နယ်	လှိုင်မြို့နယ်
Found!လှန်းအကြောင်းကြားမှပဲ	လှမ်းအကြောင်းကြားမှပဲ
Found!လျော့ချဖို့	လျှော့ချဖို့
Found!လျှောက်တွက်လို့	လျှော့တွက်လို့
Found!လျောက်ကြည့်တော့	လျှောက်ကြည့်တော့
Found!လျောက်လှမ်းနိူင်ပါစေ	လျှောက်လှမ်းနိုင်ပါစေ
Found!လျပ်စစ်ဓါတ်အား	လျှပ်စစ်ဓါတ်အား
Found!လွတ်ပေးခဲ့တာ	လွှတ်ပေးခဲ့တာ
Found!၂ဝ၁၂ဝ	၂ဝ၂ဝ
Found!၀ါတော် 	ဝါတော် 
Found!ဝါသန်ပါခဲ့တော့	ဝါသနာပါခဲ့တော့
Found!၀ူးရှူး	ဝူရှူး
Found!ဝင် ငွေနည် းနေပေမဲ့	ဝင် ငွေနည်းနေပေမဲ့
Found!ဝိုင်ကူညီကြဖို့ 	ဝိုင်းကူညီကြဖို့ 
Found!ဝပ်ရှော့လး	ဝပ်ရှော့လေး
Found!ဝမ်းနည်းလားပီ	ဝမ်းနည်းလားပြီ
Found!သတင်းထောက်တိ်ုင်း	သတင်းထောက်တိုင်း
Found!သပိတ်မှောက်ဆို့ 	သပိတ်မှောက်စို့
Found!သဘောတရားိကု	သဘောတရားကို
Found!သိမြင်နိူင်စွမ်း	သိမြင်နိုင်စွမ်း
Found!သိသိသာသာကြိး	သိသိသာသာကြီး
Found!သီချင် းခွေ 	သီချင်းခွေ 
Found!သူတိို့ကို	သူတို့ကို
Found!သူ တို့ ိကို	သူ တို့ကို
Found!သေခြာသလောက်	သေချာသလောက်
Found!သေဆုုံး ကုန်ရတယ်	သေဆုံး ကုန်ရတယ်
Found!သေသေခြာခြာ	သေသေချာချာ
Found!သံတုတ်ကိ်ု	သံတုတ်ကို
Found!သို ့မဟုတ် 	သို့မဟုတ် 
Found!သို့သော်လညး်	သို့သော်လည်း
Found!သက်ကြီးရွယ်အိ်ု	သက်ကြီးရွယ်အို
Found!သက်ဉီးဆံပိုင်	သက်ဦးဆံပိုင်
Found!သောက်စားချင်တိ်ုင်း	သောက်စားချင်တိုင်း
Found!သောက်တလွဲံ	သောက်တလွဲ
Found!တင်ခိုင်းစေချင်တယ်	သင်ခိုင်းစေချင်တယ်
Found!သင်တန်းသားတွေံ	သင်တန်းသားတွေ
Found!သင်ဖြူ းဖျာကလေး	သင်ဖြူးဖျာကလေး
Found!သီးခံပေးပါဦး	သည်းခံပေးပါဦး
Found!သန် းပေါင် းများစွာ	သန်းပေါင်းများစွာ
Found!သိန်းတထောင်ကျော်	သိန်းတစ်ထောင်ကျော်
Found!သိတ်ဂရုမစိုက်ကြလို့	သိပ်ဂရုမစိုက်ကြလို့
Found!သိပံ္ပနည်းကျ 	သိပ္ပံနည်းကျ 
Found!သီမ်းဆည်းခဲ့ ပြီး 	သိမ်းဆည်းခဲ့ ပြီး 
Found!သိ်မ်းယူဖို့ 	သိမ်းယူဖို့ 
Found!သုံးလို့တို့	သုံးလို့တော့
Found!သြစတေးလျှ	သြစတေးလျ
Found!သွားတောမယ်တဲ့	သွားတော့မယ်တဲ့
Found!သွားထိ်ုင်	သွားထိုင်
Found!သွားဲရကြောင်း	သွားရဲကြောင်း
Found!သွေးကြောကျဥ်း	သွေးကြောကျဉ်း
Found!သွယ်တန်းပေးနိူင်ဆဲ	သွယ်တန်းပေးနိုင်ဆဲ
Found!ဟောပြောနေစဉ့်	ဟောပြောနေစဉ်
Found!ဟုတ်နေခဲ့တာဘဲ	ဟုတ်နေခဲ့တာပဲ
Found!အကူညီတောင်ခံတာပါ	အကူညီတောင်းခံတာပါ
Found!အကူအညီတောင်မလား	အကူအညီတောင်းမလား
Found!အကောင်အထည် ဖေါ်နေတဲ့ 	အကောင်အထည် ဖော်နေတဲ့ 
Found!အကောင်အထည် ဖောက်နိုင်ဖို့	အကောင်အထည် ဖော်နိုင်ဖို့
Found!အကောင်းဆုံးဖစ်အောင်	အကောင်းဆုံးဖြစ်အောင်
Found!အကုန်ရပီမလားတယ့်	အကုန်ရပီမလားတဲ့
Found!အကျိူးကျေးဇူး	အကျိုးကျေးဇူး
Found!အကျိုးစီးပွါး	အကျိုးစီးပွား
Found!အကျိုူးပေးမှာပါ	အကျိုးပေးမှာပါ
Found!အကျီူးပြုနေလို့ပါ	အကျိုးပြုနေလို့ပါ
Found!အကျိုးရလာဒ်	အကျိုးရလဒ်
Found!အကြုိက်ဆုံး	အကြိုက်ဆုံး
Found!အကြောင် းတွေပဲ 	အကြောင်းတွေပဲ 
Found!အကြောငး်ပြ	အကြောင်းပြ
Found!အကြောငး်မျိုးမျိုး	အကြောင်းမျိုးမျိုး
Found!အကြောင် း 	အကြောင်း 
Found!အခိ်ုင်းအစေ	အခိုင်းအစေ
Found!အချိနါကုန်သွားတယ်	အချိန်ကုန်သွားတယ်
Found!ချုပ်အခြာအာဏာ	အချုပ်အခြာအာဏာ
Found!အခွင် ့အရေး	အခွင့်အရေး
Found!အငြိုတေးထားခြင်း	အငြိုးတေးထားခြင်း
Found!အငြင်းပွါးမှု	အငြင်းပွားမှု
Found!အညင်းပွါးမှု	အငြင်းပွားမှု
Found!အဌားသုံးဖို့ဘဲ	အငှားသုံးဖို့ပဲ
Found!အစပိုင် း 	အစပိုင်း 
Found!အစား ့ 	အစား 
Found!အစိုးရတုံးက	အစိုးရတုန်းက
Found!အစွဲအလမ်းကြီးပီး	အစွဲအလမ်းကြီးပြီး
Found!အဆင်မပြေမှု့	အဆင်မပြေမှု
Found!အဆင်မပြေမှူ	အဆင်မပြေမှု
Found!အဆင်သင့် ဖစ်ပြီလား	အဆင်သင့် ဖြစ်ပြီလား
Found!အဆင့်အတန်းသိအောင်လုပ်ပြစ်လိုက်	အဆင့်အတန်းသိအောင်လုပ်ပစ်လိုက်
Found!အဆိပ်ဓါတ်ငွေ့	အဆိပ်ဓာတ်ငွေ့
Found!အဆုံးမတော့ 	အဆုံးမတော့ 
Found!အတော်များများကြ	အတော်များများက
Found!အတာ် လေးကောင် းပါတယ် 	အတော် လေးကောင်းပါတယ် 
Found!အတော် အသင် ့ 	အတော် အသင့်
Found!အတိ်ုင်ပင်ခံ	အတိုင်ပင်ခံ
Found!အတည်ပြုနိ်ုင်တဲ့	အတည်ပြုနိုင်တဲ့
Found!အတေ့်အကြုံ	အတွေ့အကြုံ
Found!အထဲမှာကိုဘဲ	အထဲမှာကိုပဲ
Found!အနားမယူမိခဲဲ့ရင် 	အနားမယူမိခဲ့ရင် 
Found!အနားယူလိုက်ပါအုံးမယ်	အနားယူလိုက်ပါဦးမယ်
Found!အနုအညွှန့် 	အနုအညွန့်
Found!ဘအနိမ့်ဆုံး	အနိမ့်ဆုံး
Found!အနှောက်အယှက်	အနှောင့်အယှက်
Found!အနှောက်အယှက်	အနှောင့်အယှက်
Found!အပျာ်အပါးတွေ	အပျော်အပါးတွေ
Found!အပြေားအဆို	အပြောအဆို
Found!မပစ်မတင်တက်ပါ	အပြစ်မတင်တတ်ပါ
Found!အပစ်မြင်ပါတော့တယ်	အပြစ်မြင်ပါတော့တယ်
Found!အဖီးကျိူးများ	အဖီးကျီးများ
Found!အဖြေရှာပေးလိမ် ့မည် 	အဖြေရှာပေးလိမ့်မည် 
Found!အဖွဲ့ငယ်ပေါင်းး	အဖွဲ့ငယ်ပေါင်း
Found!အဖွဲ ့ ဝင် 	အဖွဲ့ဝင် 
Found!အဖွဲ ့အစည်းများ	အဖွဲ့အစည်းများ
Found!အမျီုူသမီး	အမျိုးသမီး
Found!အမျိုုးသမီး	အမျိုးသမီး
Found!အမှုလိုက်ခဲတာ	အမှုလိုက်ခဲ့တာ
Found!အမိူက်မီးရိူ့စက်	အမှိုက်မီးရှို့စက်
Found!အမှောင်ကြတဲ့ညပေါ့	အမှောင်ကျတဲ့ညပေါ့
Found!အမှန်အတိ်ုင်း	အမှန်အတိုင်း
Found!အရယူပေခဲ့တဲ့	အရယူပေးခဲ့တဲ့
Found!အရေကျုံ ့ပြီ	အရေကျုံ့ပြီ
Found!အေ၇းယူနိုင်ဖို့	အရေးယူနိုင်ဖို့
Found!အရေးယူနိ်ုင်မယ့်	အရေးယူနိုင်မယ့်
Found!အရင် းနှီးနည် းတယ်	အရင်းနှီးနည်းတယ်
Found!အရင် းနှီး 	အရင်းနှီး 
